4,"Zip
Code","Place
Name",State,County,Lat,Long,RandomColumn
1903,Lynn,MA,Essex,42.4668,-70.9495,0.3452609513313206
1904,Lynn,MA,Essex,42.4889,-70.9647,0.048143899935644385
1905,Lynn,MA,Essex,42.4694,-70.9728,0.6038051359327752
1906,Saugus,MA,Essex,42.4633,-71.0111,0.37300012620447254
1907,Swampscott,MA,Essex,42.4746,-70.9098,0.6153592265319098
1908,Nahant,MA,Essex,42.4261,-70.9277,0.9523614499347021
1910,Lynn,MA,Essex,42.4548,-70.9747,0.6086734964163013
1913,Amesbury,MA,Essex,42.8559,-70.9367,0.8585926918413624
1915,Beverly,MA,Essex,42.5608,-70.8759,0.7314325377335364
1921,Boxford,MA,Essex,42.6797,-71.0114,0.3375175232097012
1922,Byfield,MA,Essex,42.7568,-70.9351,0.9648420346012665
1923,Danvers,MA,Essex,42.5694,-70.9425,0.8591880166935142
1929,Essex,MA,Essex,42.6286,-70.7828,0.025569253488256227
1930,Gloucester,MA,Essex,42.6208,-70.6721,0.00946102607254884
1931,Gloucester,MA,Essex,42.6159,-70.662,0.814974678135433
1936,Hamilton,MA,Essex,42.6354,-70.8791,0.17596530116153997
1937,Hathorne,MA,Essex,42.6354,-70.8791,0.8639048978898339
1938,Ipswich,MA,Essex,42.6809,-70.8494,0.4107803710482304
1940,Lynnfield,MA,Essex,42.5327,-71.0339,0.4115649792624746
1944,Manchester,MA,Essex,42.5796,-70.7674,0.9047301289658745
1945,Marblehead,MA,Essex,42.4984,-70.8653,0.2545333187184916
1949,Middleton,MA,Essex,42.5942,-71.013,0.9249957398069318
1950,Newburyport,MA,Essex,42.813,-70.8847,0.8442113466522382
1951,Newbury,MA,Essex,42.7835,-70.8474,0.36363808215014526
1952,Salisbury,MA,Essex,42.8507,-70.8588,0.3272637429229769
1960,Peabody,MA,Essex,42.5326,-70.9612,0.8625526406577421
1961,Peabody,MA,Essex,42.6354,-70.8791,0.8023542278703916
1965,Prides Crossing,MA,Essex,42.5581,-70.8257,0.6953145540973772
1966,Rockport,MA,Essex,42.658,-70.6194,0.15537793659122978
1969,Rowley,MA,Essex,42.7138,-70.907,0.6538498865054118
1970,Salem,MA,Essex,42.5151,-70.9003,0.042526387708065716
1971,Salem,MA,Essex,42.6354,-70.8791,0.5081543798960022
1982,South Hamilton,MA,Essex,42.6185,-70.8561,0.4391869132794417
1983,Topsfield,MA,Essex,42.6415,-70.9488,0.8888126963788285
1984,Wenham,MA,Essex,42.6017,-70.8786,0.5909128907232716
1985,West Newbury,MA,Essex,42.7949,-70.9778,0.24772566307577082
2018,Accord,MA,Plymouth,42.1745,-70.8837,0.16096022024917211
2019,Bellingham,MA,Norfolk,42.0746,-71.4768,0.6652575992055553
2020,Brant Rock,MA,Plymouth,42.0818,-70.6439,0.15103656049772296
2021,Canton,MA,Norfolk,42.1645,-71.1355,0.3975023080425155
2025,Cohasset,MA,Norfolk,42.2395,-70.8128,0.9761416070904586
2026,Dedham,MA,Norfolk,42.2437,-71.1637,0.016466739266055352
2027,Dedham,MA,Norfolk,42.18,-71.0892,0.5427386206716472
2030,Dover,MA,Norfolk,42.2362,-71.2854,0.9545161639120145
